property_id,address,suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,internal_area_sqm,year_built,has_pool,has_aircon,renovated,water_view,distance_to_cbd_km,distance_to_station_km,school_catchment_rating,sale_method,days_on_market,sale_date,agent_description,sale_price
BLA-033,167 Flushcombe Rd,Blacktown,2148,House,4,3,3,642.4,344.8,1987.0,1,1,0,0,36.0,2.13,5.8,Auction,21,2023-09-03,4 bedroom house in Blacktown. Immaculately presented. Brand new bathrooms. Generous open plan layout. Ducted air conditioning throughout.,1530000.0
PAR-035,40 Wentworth St,Parramatta,2150,Apartment,3,2,2,0.0,100.1,1991.0,0,0,0,0,23.0,0.92,7.4,Private Treaty,55,2024-11-28,3 bedroom apartment in Parramatta. Separate laundry with external access. Premium blue chip pocket. Internal access from garage. Sun drenched living areas.,845000.0
PAR-040,132 Campbell St,Parramatta,2150,Townhouse,3,2,1,227.8,158.9,2016.0,0,0,0,0,23.0,0.41,7.4,Private Treaty,22,2024-10-14,3 bedroom townhouse in Parramatta. Well maintained family home. Ducted air conditioning throughout. Soaring cathedral ceilings. Stunning north facing aspect.,1075000.0
BLA-008,110 Prince St,Blacktown,2148,House,3,2,1,596.6,342.6,1970.0,0,1,1,0,36.0,0.81,5.8,Auction,34,2024-01-20,3 bedroom house in Blacktown. Secure garaging. Close to transport and schools. Premium blue chip pocket. Immaculately presented.,1365000.0
BLA-018,54 Newton Rd,Blacktown,2148,House,3,1,2,376.8,192.6,1979.0,1,1,1,0,36.0,2.4,5.8,Auction,14,2024-11-19,3 bedroom house in Blacktown. Stunning north facing aspect. Internal access from garage. Entertainer's rear deck. Close to transport and schools.,720000.0
MOS-014,170 Muston St,Mosman,2088,Apartment,2,1,1,0.0,83.4,2024.0,0,1,1,0,6.5,1.63,9.2,Auction,58,2024-07-14,2 bedroom apartment in Mosman. High end designer kitchen. Low maintenance courtyard. Walk to village shops. Generous open plan layout.,1480000.0
BLA-022,25 Chapel St,Blacktown,2148,House,3,2,1,641.2,283.6,1929.0,1,1,1,0,36.0,2.98,5.8,Private Treaty,27,2024-04-08,3 bedroom house in Blacktown. Immaculately presented. Generous open plan layout. Separate laundry with external access. Entertainer's rear deck.,1220000.0
MOS-006,53 Raglan St,Mosman,2088,House,2,1,1,533.0,282.8,2019.0,0,1,0,1,6.5,1.97,9.2,Auction,54,2024-10-06,2 bedroom house in Mosman. Level lawn for the kids. High end designer kitchen. Soaring cathedral ceilings. Separate laundry with external access.,4575000.0
BLA-026,18 Richmond Rd,Blacktown,2148,House,4,2,1,553.7,338.8,1981.0,0,1,0,0,36.0,1.3,5.8,Private Treaty,88,2024-10-14,4 bedroom house in Blacktown. Immaculately presented. Soaring cathedral ceilings. Generous open plan layout. Well maintained family home.,1505000.0
PAR-010,28 Alfred St,Parramatta,2150,House,4,3,2,626.0,294.2,1993.0,0,0,0,0,23.0,1.31,7.4,Auction,54,2024-09-27,4 bedroom house in Parramatta. Immaculately presented. Sun drenched living areas. Close to transport and schools. Generous open plan layout.,1885000.0
BLA-034,102 Vardys Rd,Blacktown,2148,Apartment,2,2,1,0.0,69.8,1996.0,0,1,0,0,36.0,1.4,5.8,Private Treaty,64,2024-12-26,2 bedroom apartment in Blacktown. Low maintenance courtyard. Secure garaging.,430000.0
PAR-023,112 Aird St,Parramatta,2150,House,4,3,2,199.3,156.5,1992.0,1,1,1,0,23.0,1.77,7.4,Private Treaty,52,2024-11-05,4 bedroom house in Parramatta. Level lawn for the kids. Dual street frontage. Secure garaging. Sun drenched living areas.,1010000.0
PAR-002,172 Hassall St,Parramatta,2150,Apartment,3,2,0,0.0,114.8,1988.0,0,1,0,0,23.0,1.63,7.4,Private Treaty,49,2025-02-12,3 bedroom apartment in Parramatta. Quiet tree lined street. Internal access from garage. Entertainer's rear deck. Stunning north facing aspect.,945000.0
BLA-015,9 Richmond Rd,Blacktown,2148,House,3,1,1,472.9,252.9,,0,1,0,0,36.0,1.62,5.8,Private Treaty,49,2025-05-12,3 bedroom house in Blacktown. High end designer kitchen. Walk to village shops. Well maintained family home. Secure garaging.,995000.0
